jour,Département,Nouvelles hospitalisations en 24h,Nouvelles entrées en réanimation en 24h,Nouveaux décès à l'hôpital en 24h,Nouveaux retours à domicile en 24h
2020-05-29,Haute-Saône,0,0,0,0
2020-05-29,Saône-et-Loire,3,0,2,10
2020-05-29,Yonne,0,0,0,8
2020-05-29,Territoire de Belfort,0,0,1,2
2020-05-30,Côte-d'Or,4,0,1,3
2020-05-30,Doubs,0,0,0,4
2020-05-30,Jura,0,0,0,2
2020-05-30,Nièvre,4,0,0,1
2020-05-30,Haute-Saône,0,0,0,0
2020-05-30,Saône-et-Loire,0,0,0,0
2020-05-30,Yonne,0,0,0,2
2020-05-30,Territoire de Belfort,0,0,0,0
2020-05-31,Côte-d'Or,0,0,0,0
2020-05-31,Doubs,0,0,0,0
2020-05-31,Jura,0,0,0,0
2020-05-31,Nièvre,0,0,0,0
2020-05-31,Haute-Saône,0,0,0,0
2020-05-31,Saône-et-Loire,0,0,0,0
2020-05-31,Yonne,1,0,0,6
2020-05-31,Territoire de Belfort,1,0,1,1
2020-06-01,Côte-d'Or,3,0,0,2
2020-06-01,Doubs,0,0,0,0
2020-06-01,Jura,0,0,0,0
2020-06-01,Nièvre,0,0,0,0
2020-06-01,Haute-Saône,0,0,0,0
2020-06-01,Saône-et-Loire,0,0,0,0
2020-06-01,Yonne,0,0,1,0
2020-06-01,Territoire de Belfort,0,0,0,1
2020-06-02,Côte-d'Or,2,1,0,1
2020-06-02,Doubs,3,0,0,4
2020-06-02,Jura,0,0,0,3
2020-06-02,Nièvre,0,0,0,0
2020-06-02,Haute-Saône,0,0,0,4
2020-06-02,Saône-et-Loire,3,0,0,13
2020-06-02,Yonne,0,0,1,0
